date,sales
2021-01-01,100
2021-01-02,105
2021-01-03,110
2021-01-04,115
2021-01-05,120
2021-01-06,125
2021-01-07,130
2021-01-08,135
2021-01-09,140
2021-01-10,145
2021-01-11,150
2021-01-12,155
2021-01-13,160
2021-01-14,165
2021-01-15,170
2021-01-16,175
2021-01-17,180
2021-01-18,185
2021-01-19,190
2021-01-20,195
2021-01-21,200
2021-01-22,205
2021-01-23,210
2021-01-24,215
2021-01-25,220
2021-01-26,225
2021-01-27,230
2021-01-28,235
2021-01-29,240
2021-01-30,245
2021-01-31,250
2021-02-01,255
2021-02-02,260
2021-02-03,265
2021-02-04,270
2021-02-05,275
2021-02-06,280
2021-02-07,285
2021-02-08,290
2021-02-09,295
2021-02-10,300
2021-02-11,305
2021-02-12,310
2021-02-13,315
2021-02-14,320
2021-02-15,325
2021-02-16,330
2021-02-17,335
2021-02-18,340
2021-02-19,345
2021-02-20,350
2021-02-21,355
2021-02-22,360
2021-02-23,365
2021-02-24,370
2021-02-25,375
2021-02-26,380
2021-02-27,385
2021-02-28,390
2021-03-01,395
2021-03-02,400
2021-03-03,405
2021-03-04,410
2021-03-05,415
2021-03-06,420
2021-03-07,425
2021-03-08,430
2021-03-09,435
2021-03-10,440
2021-03-11,445
2021-03-12,450
2021-03-13,455
2021-03-14,460
2021-03-15,465
2021-03-16,470
2021-03-17,475
2021-03-18,480
2021-03-19,485
2021-03-20,490
2021-03-21,495
2021-03-22,500
2021-03-23,505
2021-03-24,510
2021-03-25,515
2021-03-26,520
2021-03-27,525
2021-03-28,530
2021-03-29,535
2021-03-30,540
2021-03-31,545
2021-04-01,550
2021-04-02,555
2021-04-03,560
2021-04-04,565
2021-04-05,570
2021-04-06,575
2021-04-07,580
2021-04-08,585
2021-04-09,590
2021-04-10,595
